"Observation No.","Collectors","State","County","Abbreviated Location","Elevation (m)","Collectionmethod","Collection method merge field","sex","caste","pollinatorINatName","scientificName","plantINatName","plantScientificName","iNatObsId","decimalLongitude","decimalLatitude","eventDate","plantINatId","plantAssignedINatName","pollinatorINatId","pollinatorAssignedINatName","monument","forest","US_L3CODE"
1903953,M.Richards,OR,Tillamook,"Oceanside",61,net,,F,,Andrena,Andrena,Ericaceae,Ericaceae,22502125,-123.904,45.516,2019-04-14,133387,Ericaceae,571358,Andrena,,,
1903954,M.Richards,OR,Tillamook,"Oceanside",61,net,,F,,Osmia lignaria,Osmia lignaria,Ericaceae,Ericaceae,22502125,-123.904,45.516,2019-04-14,133387,Ericaceae,121507,Osmia lignaria,,,
1903955,M.Richards,OR,Tillamook,"Oceanside",61,net,,M,,Osmia lignaria,Osmia lignaria,Ericaceae,Ericaceae,22502125,-123.904,45.516,2019-04-14,133387,Ericaceae,121507,Osmia lignaria,,,
1903956,M.Richards,OR,Tillamook,"Oceanside",61,net,,F,queen,Bombus mixtus,Bombus mixtus,Ericaceae,Ericaceae,22502125,-123.904,45.516,2019-04-14,133387,Ericaceae,319125,Bombus mixtus,,,
1903969,M.Richards,OR,Tillamook,"Oceanside",62,net,,F,,Bombus caliginosus,Bombus caliginosus,Syringa vulgaris,Syringa vulgaris,24632968,-123.904,45.516,2019-05-05,83072,Syringa vulgaris,344228,Bombus caliginosus,,,
1903970,M.Richards,OR,Tillamook,"Oceanside",62,net,,M,,Habropoda miserabilis,Habropoda miserabilis,Syringa vulgaris,Syringa vulgaris,24632968,-123.904,45.516,2019-05-05,83072,Syringa vulgaris,307633,Habropoda miserabilis,,,
1903971,M.Richards,OR,Tillamook,"Oceanside",62,net,,F,,Bombus mixtus,Bombus mixtus,Syringa vulgaris,Syringa vulgaris,24632968,-123.904,45.516,2019-05-05,83072,Syringa vulgaris,319125,Bombus mixtus,,,
1903972,M.Richards,OR,Tillamook,"Oceanside",62,net,,F,,Lasioglossum occultum,Lasioglossum occultum,Syringa vulgaris,Syringa vulgaris,24632968,-123.904,45.516,2019-05-05,83072,Syringa vulgaris,1339253,Lasioglossum occultum,,,
1903973,M.Richards,OR,Tillamook,"Oceanside",62,net,,M,,Osmia lignaria,Osmia lignaria,Syringa vulgaris,Syringa vulgaris,24632968,-123.904,45.516,2019-05-05,83072,Syringa vulgaris,121507,Osmia lignaria,,,
1903974,M.Richards,OR,Tillamook,"Oceanside",62,net,,F,,Eucera frater,Eucera frater,Syringa vulgaris,Syringa vulgaris,24632968,-123.904,45.516,2019-05-05,83072,Syringa vulgaris,453648,Eucera frater,,,
1903975,M.Richards,OR,Tillamook,"Oceanside",62,net,,F,,Lasioglossum cooleyi,Lasioglossum cooleyi,Syringa vulgaris,Syringa vulgaris,24632968,-123.904,45.516,2019-05-05,83072,Syringa vulgaris,459084,Lasioglossum cooleyi,,,
1903976,M.Richards,OR,Tillamook,"Oceanside",62,net,,F,,Bombus mixtus,Bombus mixtus,Syringa vulgaris,Syringa vulgaris,24632968,-123.904,45.516,2019-05-05,83072,Syringa vulgaris,319125,Bombus mixtus,,,
1903977,M.Richards,OR,Tillamook,"Oceanside",62,net,,F,,Lasioglossum,Lasioglossum,Syringa vulgaris,Syringa vulgaris,24632968,-123.904,45.516,2019-05-05,83072,Syringa vulgaris,569269,Lasioglossum,,,
1903978,M.Richards,OR,Tillamook,"Oceanside",62,net,,F,,Lasioglossum cooleyi,Lasioglossum cooleyi,Syringa vulgaris,Syringa vulgaris,24632968,-123.904,45.516,2019-05-05,83072,Syringa vulgaris,459084,Lasioglossum cooleyi,,,
1903979,M.Richards,OR,Tillamook,"Oceanside",62,net,,F,,Lasioglossum,Lasioglossum,Syringa vulgaris,Syringa vulgaris,24632968,-123.904,45.516,2019-05-05,83072,Syringa vulgaris,569269,Lasioglossum,,,
1910740,L.Best,OR,Lincoln,"Newport, South Jetty",,net,,F,,Lasioglossum pavonotum,Lasioglossum pavonotum,Fragaria,Fragaria,,-124.07,44.612,2019-04-28,50299,Fragaria,1453119,Lasioglossum pavonotus,,,
1910741,L.Best,OR,Lincoln,"Newport, South Jetty",,net,,F,,Lasioglossum pavonotum,Lasioglossum pavonotum,Fragaria,Fragaria,,-124.07,44.612,2019-04-28,50299,Fragaria,1453119,Lasioglossum pavonotus,,,
1910742,L.Best,OR,Lincoln,"Newport, South Jetty",,net,,F,,Lasioglossum pavonotum,Lasioglossum pavonotum,Fragaria,Fragaria,,-124.07,44.612,2019-04-28,50299,Fragaria,1453119,Lasioglossum pavonotus,,,
1910743,L.Best,OR,Lincoln,"Newport, South Jetty",,net,,F,,Lasioglossum pavonotum,Lasioglossum pavonotum,Fragaria,Fragaria,,-124.07,44.612,2019-04-28,50299,Fragaria,1453119,Lasioglossum pavonotus,,,
1910744,L.Best,OR,Lincoln,"Newport, South Jetty",,net,,F,,Lasioglossum pavonotum,Lasioglossum pavonotum,Fragaria,Fragaria,,-124.07,44.612,2019-04-28,50299,Fragaria,1453119,Lasioglossum pavonotus,,,
1910745,L.Best,OR,Lincoln,"Newport, South Jetty",,net,,F,,Lasioglossum pavonotum,Lasioglossum pavonotum,Fragaria,Fragaria,,-124.07,44.612,2019-04-28,50299,Fragaria,1453119,Lasioglossum pavonotus,,,
1910746,L.Best,OR,Lincoln,"Newport, South Jetty",,net,,F,,Lasioglossum pavonotum,Lasioglossum pavonotum,Fragaria,Fragaria,,-124.07,44.612,2019-04-28,50299,Fragaria,1453119,Lasioglossum pavonotus,,,
1910747,L.Best,OR,Lincoln,"Newport, South Jetty",,net,,F,,Lasioglossum pavonotum,Lasioglossum pavonotum,Fragaria,Fragaria,,-124.07,44.612,2019-04-28,50299,Fragaria,1453119,Lasioglossum pavonotus,,,
1918326,M.Stein,OR,Lincoln,"Newport",0,net,,F,,Andrena,Andrena,Salix hookeriana,Salix hookeriana,,-124.016,44.623,2019-03-18,78941,Salix hookeriana,571358,Andrena,,,
1918328,M.Stein,OR,Lincoln,"Newport",0,net,,F,queen,Bombus mixtus,Bombus mixtus,Salix hookeriana,Salix hookeriana,,-124.016,44.623,2019-03-18,78941,Salix hookeriana,319125,Bombus mixtus,,,
1918350,M.Stein,OR,Lincoln,"Newport",1,net,,F,,Habropoda miserabilis,Habropoda miserabilis,Vaccinium ovatum,Vaccinium ovatum,,-124.071,44.612,2019-04-28,48349,Vaccinium ovatum,307633,Habropoda miserabilis,,,
1918482,M.Stein,OR,Lincoln,"Newport",2,net,,F,,Bombus fervidus,Bombus fervidus,Spergularia macrotheca,Spergularia macrotheca,28468752,-124.042,44.623,2019-07-08,61472,Spergularia macrotheca,52774,Bombus fervidus,,,
1918484,M.Stein,OR,Lincoln,"Seal Rock",5,net,,F,,Lasioglossum,Lasioglossum,Festuca,Festuca,28651826,-124.084,44.49,2019-07-11,57170,Festuca,569269,Lasioglossum,,,
1918496,M.Stein,OR,Lincoln,"South Beach",3,net,,M,,Bombus vosnesenskii,Bombus vosnesenskii,Cakile edentula,Cakile edentula,28974392,-124.068,44.608,2019-07-16,52162,Cakile edentula,57689,Bombus vosnesenskii,,,
1918521,M.Stein,OR,Lincoln,"Newport",0,net,,F,,Lasioglossum,Lasioglossum,Cuscuta salina major,Cuscuta salina major,29415962,-124.042,44.623,2019-07-23,80645,Cuscuta pacifica pacifica,569269,Lasioglossum,,,
1918542,M.Stein,OR,Lincoln,"Newport",2,net,,F,,Lasioglossum pavonotum,Lasioglossum pavonotum,Jaumea carnosa,Jaumea carnosa,30002134,-124.044,44.619,2019-08-01,60969,Jaumea carnosa,1453119,Lasioglossum pavonotus,,,
1924442,M.Stein,OR,Lincoln,"Newport",2,net,,M,,Megachile perihirta,Megachile perihirta,Symphyotrichum chilense,Symphyotrichum chilense,32598538,-124.013,44.627,2019-09-12,56861,Symphyotrichum chilense,224501,Megachile perihirta,,,
1924443,M.Stein,OR,Lincoln,"Newport",2,net,,F,,Megachile perihirta,Megachile perihirta,Symphyotrichum chilense,Symphyotrichum chilense,32598538,-124.013,44.627,2019-09-12,56861,Symphyotrichum chilense,224501,Megachile perihirta,,,
1924444,M.Stein,OR,Lincoln,"Newport",2,net,,M,,Bombus vosnesenskii,Bombus vosnesenskii,Symphyotrichum chilense,Symphyotrichum chilense,32598538,-124.013,44.627,2019-09-12,56861,Symphyotrichum chilense,57689,Bombus vosnesenskii,,,
1928867,J.Pope,OR,Lincoln,"Waldport",6,net,,F,,Bombus caliginosus,Bombus caliginosus,Nepeta faassenii,Nepeta faassenii,,-124.053,44.432,2019-07-17,410913,Nepeta × faassenii,344228,Bombus caliginosus,,,
1928868,J.Pope,OR,Lincoln,"Waldport",6,net,,F,,Bombus vosnesenskii,Bombus vosnesenskii,Nepeta faassenii,Nepeta faassenii,,-124.053,44.432,2019-07-17,410913,Nepeta × faassenii,57689,Bombus vosnesenskii,,,
1929083,J.Patterson,OR,Clatsop,"Fort Stevens",0,net,,M,,Bombus melanopygus,Bombus melanopygus,Hypochaeris radicata,Hypochaeris radicata,,-124,46.2,2019-06-18,53104,Hypochaeris radicata,130222,Bombus melanopygus,,,
2011132,M.Stein,OR,Lincoln,"Newport",3,net,,M,,Ceratina acantha,Ceratina acantha,Rorippa sylvestris,Rorippa sylvestris,41779593,-124.025,44.627,2020-04-09,167973,Rorippa sylvestris,309461,Ceratina acantha,,,
2011133,M.Stein,OR,Lincoln,"Newport",3,net,,M,,Ceratina acantha,Ceratina acantha,Rorippa sylvestris,Rorippa sylvestris,41779593,-124.025,44.627,2020-04-09,167973,Rorippa sylvestris,309461,Ceratina acantha,,,
2011134,M.Stein,OR,Lincoln,"Newport",3,net,,M,,Ceratina acantha,Ceratina acantha,Rorippa sylvestris,Rorippa sylvestris,41779593,-124.025,44.627,2020-04-09,167973,Rorippa sylvestris,309461,Ceratina acantha,,,
2011135,M.Stein,OR,Lincoln,"Newport",3,net,,M,,Ceratina acantha,Ceratina acantha,Rorippa sylvestris,Rorippa sylvestris,41779593,-124.025,44.627,2020-04-09,167973,Rorippa sylvestris,309461,Ceratina acantha,,,
2022935,L.Bordelon,OR,Curry,"Gold Beach",24,net,,F,,Colletes,Colletes,Angelica hendersonii,Angelica hendersonii,55232242,-124.426,42.349,2020-07-31,64289,Angelica hendersonii,127741,Colletes,,,
2022936,L.Bordelon,OR,Curry,"
Gold Beach",24,net,,F,,Colletes,Colletes,Angelica hendersonii,Angelica hendersonii,55232242,-124.426,42.349,2020-07-31,64289,Angelica hendersonii,127741,Colletes,,,
2022937,L.Bordelon,OR,Curry,"
Gold Beach",24,net,,F,,Colletes,Colletes,Angelica hendersonii,Angelica hendersonii,55232242,-124.426,42.349,2020-07-31,64289,Angelica hendersonii,127741,Colletes,,,
2022938,L.Bordelon,OR,Curry,"
Gold Beach",24,net,,F,,Colletes,Colletes,Angelica hendersonii,Angelica hendersonii,55232242,-124.426,42.349,2020-07-31,64289,Angelica hendersonii,127741,Colletes,,,
2022939,L.Bordelon,OR,Curry,"
Gold Beach",24,net,,M,,Colletes,Colletes,Angelica hendersonii,Angelica hendersonii,55232242,-124.426,42.349,2020-07-31,64289,Angelica hendersonii,127741,Colletes,,,
2022940,L.Bordelon,OR,Curry,"
Gold Beach",24,net,,F,,Hylaeus,Hylaeus,Angelica hendersonii,Angelica hendersonii,55232242,-124.426,42.349,2020-07-31,64289,Angelica hendersonii,602834,Hylaeus,,,
2022941,L.Bordelon,OR,Curry,"
Gold Beach",24,net,,M,,Colletes,Colletes,Angelica hendersonii,Angelica hendersonii,55232242,-124.426,42.349,2020-07-31,64289,Angelica hendersonii,127741,Colletes,,,
2022942,L.Bordelon,OR,Curry,"
Gold Beach",24,net,,M,,Colletes,Colletes,Angelica hendersonii,Angelica hendersonii,55232242,-124.426,42.349,2020-07-31,64289,Angelica hendersonii,127741,Colletes,,,
2022943,L.Bordelon,OR,Curry,"Gold Beach",24,net,,F,,Colletes,Colletes,Angelica hendersonii,Angelica hendersonii,55232242,-124.426,42.349,2020-07-31,64289,Angelica hendersonii,127741,Colletes,,,
2022944,L.Bordelon,OR,Curry,"Gold Beach",24,net,,M,,Colletes,Colletes,Angelica hendersonii,Angelica hendersonii,55232242,-124.426,42.349,2020-07-31,64289,Angelica hendersonii,127741,Colletes,,,
2022945,L.Bordelon,OR,Curry,"Gold Beach",24,net,,M,,Colletes,Colletes,Angelica hendersonii,Angelica hendersonii,55232242,-124.426,42.349,2020-07-31,64289,Angelica hendersonii,127741,Colletes,,,
2022946,L.Bordelon,OR,Curry,"Gold Beach",24,net,,F,,Hylaeus,Hylaeus,Angelica hendersonii,Angelica hendersonii,55232242,-124.426,42.349,2020-07-31,64289,Angelica hendersonii,602834,Hylaeus,,,
2046729,L.Robinson,OR,Curry,"Gold Beach",11,net,,F,worker,Bombus vosnesenskii,Bombus vosnesenskii,Cakile,Cakile,55553962,-124.411,42.306,2020-07-27,52163,Cakile,57689,Bombus vosnesenskii,,,
2111968,M.Stein,OR,Lincoln,"Newport",2,net,,F,worker,Bombus fervidus,Bombus fervidus,Spergularia macrotheca,Spergularia macrotheca,83865681,-124.042,44.623,2021-06-20,61472,Spergularia macrotheca,52774,Bombus fervidus,,,
2115788,M.Stein,OR,Lincoln,"Newport",2,net,,M,,Megachile,Megachile,Achillea millefolium,Achillea millefolium,88332109,-124.013,44.627,2021-07-23,52821,Achillea millefolium,571092,Megachile,,,
2115789,M.Stein,OR,Lincoln,"Newport",2,net,,M,,Halictus,Halictus,Achillea millefolium,Achillea millefolium,88332109,-124.013,44.627,2021-07-23,52821,Achillea millefolium,606640,Halictus,,,
2115790,M.Stein,OR,Lincoln,"OSU Hatfield MSC",3,net,,F,worker,Bombus caliginosus,Bombus caliginosus,Cuscuta pacifica,Cuscuta pacifica,88601562,-124.045,44.619,2021-07-25,76553,Cuscuta pacifica,344228,Bombus caliginosus,,,
2200229,S.Sublette,OR,Lincoln,"Newport",13,net,,F,queen,Bombus vosnesenskii,Bombus vosnesenskii,Calluna vulgaris,Calluna vulgaris,106577940,-124.06,44.66,,119450,Calluna vulgaris,57689,Bombus vosnesenskii,,,
2200230,S.Sublette,OR,Lincoln,"Newport",13,net,,F,queen,Bombus vosnesenskii,Bombus vosnesenskii,Calluna vulgaris,Calluna vulgaris,106577940,-124.06,44.66,,119450,Calluna vulgaris,57689,Bombus vosnesenskii,,,
2200231,S.Sublette,OR,Lincoln,"Newport",13,net,,F,queen,Bombus melanopygus,Bombus melanopygus,Calluna vulgaris,Calluna vulgaris,106577940,-124.06,44.66,,119450,Calluna vulgaris,130222,Bombus melanopygus,,,
2200232,S.Sublette,OR,Lincoln,"Newport",13,net,,F,queen,Bombus melanopygus,Bombus melanopygus,Calluna vulgaris,Calluna vulgaris,106577940,-124.06,44.66,,119450,Calluna vulgaris,130222,Bombus melanopygus,,,
2200234,S.Sublette,OR,Lincoln,"Newport",13,net,,F,queen,Bombus vosnesenskii,Bombus vosnesenskii,Calluna vulgaris,Calluna vulgaris,106577940,-124.06,44.66,,119450,Calluna vulgaris,57689,Bombus vosnesenskii,,,
2203188,C. Yamada,OR,Clackamas,"Oregon City",-1,net,,M,,Nomada,Nomada,Lepidium chalepense,Lepidium chalepense,116628407,-179.071,61.29,,891469,Lepidium chalepense,53648,Nomada,,,
2203191,C. Yamada,OR,Clackamas,"Oregon City",-1,net,,F,,Andrena,Andrena,Lepidium chalepense,Lepidium chalepense,116628407,-179.071,61.29,,891469,Lepidium chalepense,571358,Andrena,,,
2203192,C. Yamada,OR,Clackamas,"Oregon City",-1,net,,F,,Halictus,Halictus,Lepidium chalepense,Lepidium chalepense,116628407,-179.071,61.29,,891469,Lepidium chalepense,606640,Halictus,,,
2203198,C. Yamada,OR,Clackamas,"Oregon City",-1,net,,F,,Halictus,Halictus,Lepidium chalepense,Lepidium chalepense,116628407,-179.071,61.29,,891469,Lepidium chalepense,606640,Halictus,,,
2203199,C. Yamada,OR,Clackamas,"Oregon City",-1,net,,F,,Halictus,Halictus,Lepidium chalepense,Lepidium chalepense,116628407,-179.071,61.29,,891469,Lepidium chalepense,606640,Halictus,,,
2203200,C. Yamada,OR,Clackamas,"Oregon City",-1,net,,F,,Lasioglossum titusi,Lasioglossum titusi,Lepidium chalepense,Lepidium chalepense,116628407,-179.071,61.29,,891469,Lepidium chalepense,309077,Lasioglossum titusi,,,
2203202,C. Yamada,OR,Clackamas,"Oregon City",-1,net,,F,,Ceratina,Ceratina,Lepidium chalepense,Lepidium chalepense,116628407,-179.071,61.29,,891469,Lepidium chalepense,572870,Ceratina,,,
2204610,L. Best,BC,Cariboo,"Bridge Lake",1137,net,,F,queen,Bombus mixtus,Bombus mixtus,Ribes oxyacanthoides,Ribes oxyacanthoides,119477573,-120.702,51.492,,71033,Ribes oxyacanthoides,319125,Bombus mixtus,,,
2208982,R. Cheek,OR,Lincoln,"Newport",2,net,,M,,Lasioglossum pavonotum,Lasioglossum pavonotum,Crepis capillaris,Crepis capillaris,126254823,-124.0438,44.6235,,54050,Crepis capillaris,1453119,Lasioglossum pavonotus,,,
2208983,R. Cheek,OR,Lincoln,"Newport",2,net,,F,,Lasioglossum villosulum,Lasioglossum villosulum,Crepis capillaris,Crepis capillaris,126254823,-124.0438,44.6235,,54050,Crepis capillaris,127755,Lasioglossum villosulum,,,
2208984,R. Cheek,OR,Lincoln,"Newport",2,net,,F,,Lasioglossum villosulum,Lasioglossum villosulum,Crepis capillaris,Crepis capillaris,126254823,-124.0438,44.6235,,54050,Crepis capillaris,127755,Lasioglossum villosulum,,,
2208985,R. Cheek,OR,Lincoln,"Newport",2,net,,F,worker,Bombus mixtus,Bombus mixtus,Hypochaeris radicata,Hypochaeris radicata,126254879,-124.0428,44.6233,,53104,Hypochaeris radicata,319125,Bombus mixtus,,,
2208986,R. Cheek,OR,Lincoln,"Newport",2,net,,M,male,Bombus vosnesenskii,Bombus vosnesenskii,Hypochaeris radicata,Hypochaeris radicata,126254879,-124.0428,44.6233,,53104,Hypochaeris radicata,57689,Bombus vosnesenskii,,,
2208987,R. Cheek,OR,Lincoln,"Newport",2,net,,F,,Ceratina,Ceratina,Hypochaeris radicata,Hypochaeris radicata,126254879,-124.0428,44.6233,,53104,Hypochaeris radicata,572870,Ceratina,,,
2208988,R. Cheek,OR,Lincoln,"Newport",2,net,,F,,Ceratina,Ceratina,Hypochaeris radicata,Hypochaeris radicata,126254879,-124.0428,44.6233,,53104,Hypochaeris radicata,572870,Ceratina,,,
2208989,R. Cheek,OR,Lincoln,"Newport",2,net,,F,,Ceratina,Ceratina,Hypochaeris radicata,Hypochaeris radicata,126254879,-124.0428,44.6233,,53104,Hypochaeris radicata,572870,Ceratina,,,
2208990,R. Cheek,OR,Lincoln,"Newport",2,net,,F,worker,Bombus fervidus,Bombus fervidus,Trifolium pratense,Trifolium pratense,126254964,-124.0417,44.6213,,51875,Trifolium pratense,52774,Bombus fervidus,,,
